Session_ID,Time,Network_Type,Video_Resolution,Bitrate_Mbps,Delay_ms,Packet_Loss_Rate,Jitter_ms,Buffering_Events,Startup_Delay_s,PSNR_dB,MOS_Video,MOS_Network,QoE_Video_Quality,QoE_Network_Performance,QoE_Buffering_Impact,QoE_Startup_Impact,QoE_5G_Components,QoE_5G_Normalized,QoE_5G_Percent
S001,1,5G_NSA,1080p,8.5,25.2,0.0015,3.8,2,2.8,38.2,3.8,3.6,0.76,0.72,0.85,0.72,0.7625,0.7625,76.25
S002,1,5G_NSA,1080p,8.8,24.5,0.0014,3.6,2,2.7,38.5,3.85,3.65,0.77,0.73,0.85,0.73,0.7700,0.7700,77.00
S003,2,5G_NSA,1080p,9.2,23.8,0.0013,3.5,1,2.6,38.8,3.9,3.7,0.78,0.74,0.90,0.74,0.7900,0.7900,79.00
S004,2,5G_NSA,1440p,12.5,22.5,0.0012,3.3,1,2.5,39.2,4.0,3.75,0.80,0.75,0.90,0.75,0.8000,0.8000,80.00
S005,3,5G_NSA,1440p,13.0,21.8,0.0011,3.2,1,2.4,39.5,4.05,3.8,0.81,0.76,0.90,0.76,0.8075,0.8075,80.75
S006,4,5G_SA,1440p,14.5,20.5,0.0010,3.0,1,2.3,39.8,4.1,3.85,0.82,0.77,0.90,0.77,0.8150,0.8150,81.50
S007,5,5G_SA,1440p,15.2,19.8,0.0009,2.8,1,2.2,40.0,4.15,3.9,0.83,0.78,0.90,0.78,0.8225,0.8225,82.25
S008,6,5G_SA,1440p,16.0,19.0,0.0008,2.6,0,2.1,40.2,4.2,3.95,0.84,0.79,0.95,0.79,0.8425,0.8425,84.25
S009,7,5G_SA,2160p,22.5,18.2,0.0007,2.4,0,2.0,40.5,4.25,4.0,0.85,0.80,0.95,0.80,0.8500,0.8500,85.00
S010,8,5G_SA,2160p,24.0,17.5,0.0006,2.2,0,1.9,40.8,4.3,4.05,0.86,0.81,0.95,0.81,0.8575,0.8575,85.75
S011,9,5G_SA,2160p,25.5,16.8,0.0005,2.0,0,1.8,41.0,4.35,4.1,0.87,0.82,0.95,0.82,0.8650,0.8650,86.50
S012,10,5G_SA_Advanced,2160p,28.0,15.5,0.0004,1.8,0,1.7,41.2,4.4,4.15,0.88,0.83,0.95,0.83,0.8725,0.8725,87.25
S013,11,5G_SA_Advanced,2160p,30.0,14.8,0.0004,1.7,0,1.6,41.5,4.45,4.2,0.89,0.84,0.95,0.84,0.8800,0.8800,88.00
S014,12,5G_SA_Advanced,2160p,32.0,14.0,0.0003,1.6,0,1.5,41.8,4.5,4.25,0.90,0.85,0.95,0.85,0.8875,0.8875,88.75
S015,13,5G_SA_Advanced,4K,35.0,13.2,0.0003,1.5,0,1.4,42.0,4.52,4.28,0.90,0.86,0.95,0.86,0.8925,0.8925,89.25
S016,14,5G_SA_Advanced,4K,38.0,12.5,0.0002,1.4,0,1.3,42.2,4.55,4.3,0.91,0.86,0.95,0.87,0.8975,0.8975,89.75
S017,15,5G_SA_Advanced,4K,40.0,11.8,0.0002,1.3,0,1.2,42.5,4.58,4.32,0.92,0.86,0.95,0.88,0.9025,0.9025,90.25
S018,16,5G_SA_Advanced,4K,42.0,11.0,0.0002,1.2,0,1.1,42.8,4.6,4.35,0.92,0.87,0.95,0.89,0.9075,0.9075,90.75
S019,17,5G_SA_Advanced,4K,45.0,10.2,0.0001,1.1,0,1.0,43.0,4.62,4.38,0.92,0.88,0.95,0.90,0.9125,0.9125,91.25
S020,18,5G_SA_Advanced,4K,48.0,9.5,0.0001,1.0,0,0.9,43.2,4.65,4.4,0.93,0.88,0.95,0.91,0.9175,0.9175,91.75
S021,19,5G_SA_Advanced,4K,50.0,8.8,0.0001,0.9,0,0.8,43.5,4.68,4.42,0.94,0.88,0.95,0.92,0.9225,0.9225,92.25
S022,20,5G_SA_Advanced,8K,55.0,8.0,0.00008,0.8,0,0.7,43.8,4.7,4.45,0.94,0.89,0.95,0.93,0.9275,0.9275,92.75
S023,21,5G_SA_Advanced,8K,58.0,7.2,0.00007,0.7,0,0.6,44.0,4.72,4.48,0.94,0.90,0.95,0.94,0.9325,0.9325,93.25
S024,22,5G_SA_Advanced,8K,60.0,6.5,0.00006,0.6,0,0.5,44.2,4.75,4.5,0.95,0.90,0.95,0.95,0.9375,0.9375,93.75
S025,23,5G_SA_Advanced,8K,62.0,5.8,0.00005,0.5,0,0.4,44.5,4.78,4.52,0.96,0.90,0.95,0.96,0.9425,0.9425,94.25
S026,24,5G_SA_Advanced,8K,65.0,5.0,0.00004,0.4,0,0.3,44.8,4.8,4.55,0.96,0.91,0.95,0.97,0.9475,0.9475,94.75
S027,25,5G_SA_Advanced,8K,68.0,4.2,0.00003,0.3,0,0.2,45.0,4.82,4.58,0.96,0.92,0.95,0.98,0.9525,0.9525,95.25
S028,26,5G_SA_Advanced,8K,70.0,3.5,0.00002,0.25,0,0.15,45.2,4.85,4.6,0.97,0.92,0.95,0.99,0.9575,0.9575,95.75
S029,27,5G_SA_Advanced,8K,72.0,2.8,0.00002,0.2,0,0.12,45.5,4.88,4.62,0.98,0.92,0.95,0.99,0.9600,0.9600,96.00
S030,28,5G_SA_Advanced,8K,75.0,2.0,0.00001,0.15,0,0.10,45.8,4.9,4.65,0.98,0.93,0.95,0.99,0.9625,0.9625,96.25
S031,29,5G_SA_Advanced,8K,78.0,1.5,0.00001,0.12,0,0.08,46.0,4.92,4.68,0.98,0.94,0.95,0.99,0.9650,0.9650,96.50
S032,30,5G_SA_Advanced,8K,80.0,1.2,0.000008,0.10,0,0.06,46.2,4.95,4.7,0.99,0.94,0.95,0.99,0.9675,0.9675,96.75
S033,31,5G_SA_Advanced,8K,82.0,1.0,0.000006,0.08,0,0.05,46.5,4.96,4.72,0.99,0.94,0.95,1.00,0.9700,0.9700,97.00
S034,32,5G_SA_Advanced,8K,85.0,0.8,0.000005,0.06,0,0.04,46.8,4.97,4.75,0.99,0.95,0.95,1.00,0.9725,0.9725,97.25
S035,33,5G_SA_Advanced,8K,88.0,0.6,0.000004,0.05,0,0.03,47.0,4.98,4.78,0.99,0.96,0.95,1.00,0.9750,0.9750,97.50
S036,34,5G_SA_Advanced,8K,90.0,0.5,0.000003,0.04,0,0.02,47.2,4.99,4.8,1.00,0.96,0.95,1.00,0.9775,0.9775,97.75
S037,35,5G_SA_Advanced,8K,92.0,0.4,0.000002,0.03,0,0.01,47.5,4.99,4.82,1.00,0.96,0.95,1.00,0.9775,0.9775,97.75
S038,36,5G_SA_Advanced,8K,95.0,0.3,0.000001,0.02,0,0.01,47.8,5.00,4.85,1.00,0.97,0.95,1.00,0.9800,0.9800,98.00
S039,1,5G_NSA,1080p,8.3,26.0,0.0016,4.0,2,2.9,38.0,3.75,3.55,0.75,0.71,0.85,0.71,0.7550,0.7550,75.50
S040,2,5G_NSA,1080p,9.0,24.2,0.0013,3.6,2,2.7,38.6,3.88,3.68,0.78,0.74,0.85,0.73,0.7750,0.7750,77.50
S041,3,5G_NSA,1440p,12.8,21.5,0.0011,3.1,1,2.4,39.3,4.02,3.78,0.80,0.76,0.90,0.76,0.8050,0.8050,80.50
S042,5,5G_SA,1440p,15.5,19.5,0.0009,2.7,1,2.1,40.1,4.18,3.92,0.84,0.78,0.90,0.79,0.8275,0.8275,82.75
S043,7,5G_SA,2160p,23.0,18.0,0.0007,2.3,0,1.9,40.6,4.28,4.02,0.86,0.80,0.95,0.81,0.8550,0.8550,85.50
S044,10,5G_SA_Advanced,2160p,28.5,15.2,0.0004,1.7,0,1.6,41.3,4.42,4.18,0.88,0.84,0.95,0.84,0.8775,0.8775,87.75
S045,12,5G_SA_Advanced,2160p,32.5,13.8,0.0003,1.5,0,1.4,41.9,4.52,4.28,0.90,0.86,0.95,0.86,0.8925,0.8925,89.25
S046,15,5G_SA_Advanced,4K,40.5,11.5,0.0002,1.2,0,1.1,42.6,4.59,4.33,0.92,0.87,0.95,0.89,0.9075,0.9075,90.75
S047,18,5G_SA_Advanced,4K,48.5,9.2,0.0001,0.9,0,0.8,43.3,4.66,4.41,0.93,0.88,0.95,0.92,0.9200,0.9200,92.00
S048,20,5G_SA_Advanced,8K,56.0,7.8,0.00008,0.7,0,0.6,43.9,4.71,4.46,0.94,0.89,0.95,0.94,0.9300,0.9300,93.00
S049,22,5G_SA_Advanced,8K,61.0,6.2,0.00006,0.5,0,0.4,44.3,4.76,4.51,0.95,0.90,0.95,0.96,0.9400,0.9400,94.00
S050,24,5G_SA_Advanced,8K,66.0,4.8,0.00004,0.35,0,0.25,44.9,4.81,4.56,0.96,0.91,0.95,0.98,0.9500,0.9500,95.00
S051,26,5G_SA_Advanced,8K,71.0,3.2,0.00002,0.22,0,0.13,45.3,4.86,4.61,0.97,0.92,0.95,0.99,0.9575,0.9575,95.75
S052,28,5G_SA_Advanced,8K,76.0,1.8,0.00001,0.13,0,0.09,45.9,4.91,4.66,0.98,0.93,0.95,0.99,0.9625,0.9625,96.25
S053,30,5G_SA_Advanced,8K,81.0,1.1,0.000007,0.09,0,0.05,46.3,4.96,4.71,0.99,0.94,0.95,1.00,0.9700,0.9700,97.00
S054,32,5G_SA_Advanced,8K,86.0,0.7,0.000004,0.05,0,0.03,46.9,4.98,4.76,0.99,0.95,0.95,1.00,0.9725,0.9725,97.25
S055,33,5G_SA_Advanced,8K,89.0,0.5,0.000003,0.04,0,0.02,47.1,4.99,4.79,1.00,0.96,0.95,1.00,0.9775,0.9775,97.75
S056,34,5G_SA_Advanced,8K,91.0,0.4,0.000002,0.03,0,0.01,47.3,4.99,4.81,1.00,0.96,0.95,1.00,0.9775,0.9775,97.75
