Session_ID,Time,Network_Condition,Service_Type,QoE_Impairment_Enhanced,QoE_AHP_AI,QoE_Application_Specific,QoE_Context_Aware,Weight_Alpha,Weight_Beta,Weight_Gamma,Weight_Delta,QoE_6G_Total,QoE_6G_Total_Percent
S001,1,Fair,Video_Streaming,0.7700,0.5160,0.6465,0.5859,0.350,0.200,0.250,0.200,0.6731,67.31
S002,1,Fair,Video_Streaming,0.7760,0.5300,0.5835,0.6042,0.350,0.200,0.250,0.200,0.6507,65.07
S003,2,Fair,Video_Streaming,0.7790,0.5520,0.5853,0.5889,0.350,0.200,0.250,0.200,0.6497,64.97
S004,2,Good,Video_Streaming,0.7830,0.7020,0.8234,0.8157,0.250,0.250,0.300,0.200,0.7953,79.53
S005,3,Good,Video_Streaming,0.7790,0.7250,0.6900,0.7091,0.250,0.250,0.300,0.200,0.7294,72.94
S006,4,Good,Video_Streaming,0.7850,0.7480,0.8303,0.7875,0.250,0.250,0.300,0.200,0.7927,79.27
S007,5,Good,Video_Streaming,0.7880,0.7700,0.7369,0.7425,0.250,0.250,0.300,0.200,0.7587,75.87
S008,6,Good,Video_Streaming,0.7880,0.7830,0.7851,0.7362,0.250,0.250,0.300,0.200,0.7756,77.56
S009,7,Good,Video_Streaming,0.7920,0.8040,0.8369,0.8296,0.250,0.250,0.300,0.200,0.8175,81.75
S010,8,Good,Video_Streaming,0.7970,0.8250,0.8343,0.8176,0.250,0.250,0.300,0.200,0.8221,82.21
S011,9,Good,Video_Streaming,0.8000,0.8400,0.8036,0.8349,0.250,0.250,0.300,0.200,0.8206,82.06
S012,10,Excellent,Video_Streaming,0.8050,0.9080,0.8654,0.8614,0.139,0.278,0.389,0.194,0.8612,86.12
S013,11,Excellent,Video_Streaming,0.8110,0.9200,0.9058,0.8993,0.136,0.281,0.392,0.192,0.8783,87.83
S014,12,Excellent,Video_Streaming,0.8170,0.9310,0.9385,0.9306,0.133,0.283,0.394,0.189,0.8952,89.52
S015,13,Excellent,Video_Streaming,0.8250,0.9420,0.9379,0.8916,0.131,0.286,0.397,0.186,0.8956,89.56
S016,14,Excellent,Video_Streaming,0.8370,0.9520,0.9456,0.9222,0.128,0.289,0.400,0.183,0.9077,90.77
S017,15,Excellent,Video_Streaming,0.8450,0.9610,0.9313,0.9435,0.125,0.292,0.403,0.181,0.9103,91.03
S018,16,Excellent,Video_Streaming,0.8580,0.9670,0.9383,0.9302,0.122,0.294,0.406,0.178,0.9154,91.54
S019,17,Excellent,Video_Streaming,0.8730,0.9720,0.9575,0.9481,0.119,0.297,0.408,0.175,0.9268,92.68
S020,18,Excellent,Video_Streaming,0.8900,0.9750,0.9618,0.9450,0.117,0.300,0.411,0.172,0.9353,93.53
S021,19,Excellent,Video_Streaming,0.9030,0.9790,0.9655,0.9623,0.114,0.303,0.414,0.169,0.9448,94.48
S022,20,Excellent,Video_Streaming,0.9220,0.9810,0.9701,0.9633,0.111,0.306,0.417,0.167,0.9537,95.37
S023,21,Excellent,Video_Streaming,0.9410,0.9820,0.9785,0.9775,0.108,0.308,0.419,0.164,0.9638,96.38
S024,22,Excellent,Video_Streaming,0.9590,0.9840,0.9843,0.9764,0.106,0.311,0.422,0.161,0.9725,97.25
S025,23,Excellent,Video_Streaming,0.9750,0.9850,0.9886,0.9781,0.103,0.314,0.425,0.158,0.9803,98.03
S026,24,Excellent,Video_Streaming,0.9860,0.9860,0.9897,0.9864,0.100,0.317,0.428,0.156,0.9871,98.71
S027,25,Excellent,Video_Streaming,0.9980,0.9880,0.9923,0.9893,0.097,0.319,0.431,0.153,0.9926,99.26
