Session_ID,Time,Network_Evolution,QoE_5G,QoE_6G,η_linear,η_sigmoid,η_adaptive,QoE_Total_Linear,QoE_Total_Sigmoid,QoE_Total_Adaptive,QoE_Total_Linear_Percent,QoE_Total_Sigmoid_Percent,QoE_Total_Adaptive_Percent,Transition_Stage
S001,1,Early_5G,0.7625,0.6731,0.028,0.001,0.005,0.7599,0.7624,0.7621,75.99,76.24,76.21,5G_Dominant
S002,1,Early_5G,0.7700,0.6507,0.028,0.001,0.005,0.7666,0.7699,0.7696,76.66,76.99,76.96,5G_Dominant
S003,2,Early_5G,0.7900,0.6497,0.056,0.002,0.012,0.7836,0.7899,0.7890,78.36,78.99,78.90,5G_Dominant
S004,2,Early_5G,0.8000,0.7953,0.056,0.002,0.012,0.7997,0.8000,0.7999,79.97,80.00,79.99,5G_Dominant
S005,3,Early_5G,0.8075,0.7294,0.083,0.007,0.025,0.8010,0.8070,0.8057,80.10,80.70,80.57,5G_Dominant
S006,4,Early_5G,0.8150,0.7927,0.111,0.017,0.045,0.8128,0.8137,0.8143,81.28,81.37,81.43,5G_Dominant
S007,5,Early_Transition,0.8225,0.7587,0.139,0.034,0.072,0.8145,0.8199,0.8179,81.45,81.99,81.79,5G_Dominant
S008,6,Early_Transition,0.8425,0.7756,0.167,0.047,0.098,0.8329,0.8385,0.8368,83.29,83.85,83.68,5G_Dominant
S009,7,Early_Transition,0.8500,0.8175,0.194,0.091,0.138,0.8438,0.8426,0.8420,84.38,84.26,84.20,5G_Dominant
S010,8,Early_Transition,0.8575,0.8221,0.222,0.119,0.172,0.8493,0.8477,0.8472,84.93,84.77,84.72,5G_Dominant
S011,9,Early_Transition,0.8650,0.8206,0.250,0.168,0.198,0.8539,0.8512,0.8518,85.39,85.12,85.18,5G_Dominant
S012,10,Early_Transition,0.8725,0.8612,0.278,0.226,0.258,0.8693,0.8659,0.8670,86.93,86.59,86.70,5G_Dominant
S013,11,Mid_Transition,0.8800,0.8783,0.306,0.289,0.315,0.8795,0.8746,0.8757,87.95,87.46,87.57,5G_Dominant
S014,12,Mid_Transition,0.8875,0.8952,0.333,0.354,0.370,0.8901,0.8903,0.8905,89.01,89.03,89.05,Balanced
S015,13,Mid_Transition,0.8925,0.8956,0.361,0.420,0.428,0.8936,0.8951,0.8952,89.36,89.51,89.52,Balanced
S016,14,Mid_Transition,0.8975,0.9077,0.389,0.520,0.485,0.9015,0.9033,0.9026,90.15,90.33,90.26,6G_Emerging
S017,15,Mid_Transition,0.9025,0.9103,0.417,0.622,0.520,0.9057,0.9071,0.9064,90.57,90.71,90.64,6G_Emerging
S018,16,Mid_Transition,0.9075,0.9154,0.444,0.697,0.585,0.9110,0.9119,0.9114,91.10,91.19,91.14,6G_Emerging
S019,17,Mid_Transition,0.9125,0.9268,0.472,0.761,0.645,0.9192,0.9212,0.9204,91.92,92.12,92.04,6G_Emerging
S020,18,Late_Transition,0.9175,0.9353,0.500,0.818,0.690,0.9264,0.9336,0.9301,92.64,93.36,93.01,6G_Emerging
S021,19,Late_Transition,0.9225,0.9448,0.528,0.867,0.740,0.9343,0.9429,0.9395,93.43,94.29,93.95,6G_Emerging
S022,20,Late_Transition,0.9275,0.9537,0.556,0.908,0.790,0.9420,0.9514,0.9483,94.20,95.14,94.83,6G_Emerging
S023,21,Late_Transition,0.9325,0.9638,0.583,0.938,0.830,0.9507,0.9619,0.9587,95.07,96.19,95.87,6G_Dominant
S024,22,Late_Transition,0.9375,0.9725,0.611,0.957,0.855,0.9598,0.9707,0.9676,95.98,97.07,96.76,6G_Dominant
S025,23,Late_Transition,0.9425,0.9803,0.639,0.973,0.885,0.9677,0.9787,0.9757,96.77,97.87,97.57,6G_Dominant
S026,24,Late_Transition,0.9475,0.9871,0.667,0.982,0.910,0.9747,0.9857,0.9828,97.47,98.57,98.28,6G_Dominant
S027,25,Advanced_6G,0.9525,0.9926,0.694,0.990,0.930,0.9801,0.9916,0.9891,98.01,99.16,98.91,6G_Dominant
S028,26,Advanced_6G,0.9575,0.9966,0.722,0.993,0.940,0.9846,0.9959,0.9939,98.46,99.59,99.39,6G_Dominant
S029,27,Advanced_6G,0.9600,1.0002,0.750,0.996,0.955,0.9901,0.9996,0.9980,99.01,99.96,99.80,6G_Dominant
S030,28,Advanced_6G,0.9625,1.0037,0.778,0.998,0.965,0.9943,1.0033,1.0019,99.43,100.33,100.19,6G_Dominant
S031,29,Advanced_6G,0.9650,1.0068,0.806,0.999,0.975,0.9986,1.0066,1.0055,99.86,100.66,100.55,6G_Dominant
S032,30,Advanced_6G,0.9675,1.0097,0.833,0.999,0.982,1.0016,1.0095,1.0086,100.16,100.95,100.86,6G_Dominant
