# QoE_AHP_AI Video Streaming Dataset
# 60 Sessions over 36-month transition period (t=0 to t=36)
# Criteria: C1=Video Quality, C2=Buffering, C3=Startup Delay, C4=Bitrate Adaptation, C5=Frame Rate Stability
# Format: Session_ID, Time(months), Network_State, C1, C2, C3, C4, C5, w1(t), w2(t), w3(t), w4(t), w5(t), Q_reward, Fed_Update, α, β, w1(t+1), w2(t+1), w3(t+1), w4(t+1), w5(t+1), QoE_AHP_AI

Session_ID,Time,Network_State,C1,C2,C3,C4,C5,w1(t),w2(t),w3(t),w4(t),w5(t),Q_reward,Fed_Update,α,β,w1(t+1),w2(t+1),w3(t+1),w4(t+1),w5(t+1),QoE_AHP_AI
S001,1,Fair,0.52,0.48,0.55,0.50,0.53,0.200,0.200,0.200,0.200,0.200,0.15,0.02,0.010,0.050,0.202,0.201,0.199,0.199,0.199,51.6
S002,1,Fair,0.54,0.50,0.53,0.52,0.55,0.202,0.201,0.199,0.199,0.199,0.22,0.03,0.015,0.055,0.206,0.203,0.198,0.197,0.196,53.0
S003,2,Fair,0.56,0.52,0.58,0.54,0.57,0.206,0.203,0.198,0.197,0.196,0.28,0.04,0.020,0.060,0.212,0.206,0.196,0.194,0.192,55.2
S004,2,Good,0.71,0.68,0.72,0.70,0.69,0.212,0.206,0.196,0.194,0.192,0.35,0.05,0.025,0.065,0.221,0.209,0.193,0.190,0.187,70.2
S005,3,Good,0.73,0.70,0.74,0.72,0.71,0.221,0.209,0.193,0.190,0.187,0.42,0.06,0.030,0.070,0.232,0.212,0.189,0.185,0.182,72.5
S006,4,Good,0.75,0.72,0.76,0.74,0.73,0.232,0.212,0.189,0.185,0.182,0.48,0.07,0.035,0.075,0.245,0.215,0.184,0.179,0.177,74.8
S007,5,Good,0.77,0.74,0.78,0.76,0.75,0.245,0.215,0.184,0.179,0.177,0.52,0.08,0.040,0.080,0.260,0.217,0.178,0.172,0.173,77.0
S008,6,Good,0.78,0.75,0.79,0.77,0.76,0.260,0.217,0.178,0.172,0.173,0.55,0.09,0.045,0.085,0.277,0.219,0.171,0.164,0.169,78.3
S009,7,Good,0.80,0.77,0.81,0.79,0.78,0.277,0.219,0.171,0.164,0.169,0.58,0.10,0.050,0.090,0.295,0.220,0.163,0.155,0.167,80.4
S010,8,Good,0.82,0.79,0.83,0.81,0.80,0.295,0.220,0.163,0.155,0.167,0.61,0.11,0.055,0.095,0.315,0.221,0.154,0.145,0.165,82.5
S011,9,Good,0.83,0.80,0.84,0.82,0.81,0.315,0.221,0.154,0.145,0.165,0.63,0.12,0.060,0.100,0.336,0.221,0.144,0.134,0.165,84.0
S012,10,Excellent,0.91,0.88,0.92,0.90,0.89,0.336,0.221,0.144,0.134,0.165,0.72,0.13,0.065,0.105,0.360,0.220,0.133,0.122,0.165,90.8
S013,11,Excellent,0.92,0.89,0.93,0.91,0.90,0.360,0.220,0.133,0.122,0.165,0.74,0.14,0.070,0.110,0.385,0.218,0.121,0.109,0.167,92.0
S014,12,Excellent,0.93,0.90,0.94,0.92,0.91,0.385,0.218,0.121,0.109,0.167,0.76,0.15,0.075,0.115,0.412,0.215,0.108,0.095,0.170,93.1
S015,13,Excellent,0.94,0.91,0.95,0.93,0.92,0.412,0.215,0.108,0.095,0.170,0.78,0.16,0.080,0.120,0.440,0.211,0.094,0.080,0.175,94.2
S016,14,Excellent,0.95,0.92,0.96,0.94,0.93,0.440,0.211,0.094,0.080,0.175,0.80,0.17,0.085,0.125,0.470,0.206,0.079,0.064,0.181,95.2
S017,15,Excellent,0.96,0.93,0.97,0.95,0.94,0.470,0.206,0.079,0.064,0.181,0.82,0.18,0.090,0.130,0.502,0.200,0.063,0.047,0.188,96.1
S018,16,Excellent,0.96,0.93,0.97,0.95,0.94,0.502,0.200,0.063,0.047,0.188,0.83,0.18,0.092,0.133,0.534,0.193,0.047,0.030,0.196,96.7
S019,17,Excellent,0.97,0.94,0.98,0.96,0.95,0.534,0.193,0.047,0.030,0.196,0.84,0.19,0.094,0.136,0.567,0.185,0.030,0.013,0.205,97.2
S020,18,Excellent,0.97,0.94,0.98,0.96,0.95,0.567,0.185,0.030,0.013,0.205,0.85,0.19,0.096,0.139,0.601,0.176,0.013,0.000,0.210,97.5
S021,19,Excellent,0.98,0.95,0.99,0.97,0.96,0.601,0.176,0.013,0.000,0.210,0.86,0.20,0.098,0.142,0.636,0.166,0.000,0.000,0.198,97.9
S022,20,Excellent,0.98,0.95,0.99,0.97,0.96,0.636,0.166,0.000,0.000,0.198,0.87,0.20,0.100,0.145,0.672,0.155,0.000,0.000,0.173,98.1
S023,21,Excellent,0.98,0.95,0.99,0.97,0.96,0.672,0.155,0.000,0.000,0.173,0.88,0.20,0.098,0.148,0.707,0.143,0.000,0.000,0.150,98.2
S024,22,Excellent,0.99,0.96,0.99,0.98,0.97,0.707,0.143,0.000,0.000,0.150,0.89,0.20,0.096,0.151,0.740,0.130,0.000,0.000,0.130,98.4
S025,23,Excellent,0.99,0.96,0.99,0.98,0.97,0.740,0.130,0.000,0.000,0.130,0.90,0.20,0.094,0.154,0.772,0.116,0.000,0.000,0.112,98.5
S026,24,Excellent,0.99,0.96,0.99,0.98,0.97,0.772,0.116,0.000,0.000,0.112,0.91,0.20,0.092,0.157,0.802,0.101,0.000,0.000,0.097,98.6
S027,25,Excellent,0.99,0.97,1.00,0.98,0.97,0.802,0.101,0.000,0.000,0.097,0.92,0.20,0.090,0.160,0.830,0.085,0.000,0.000,0.085,98.8
S028,26,Excellent,0.99,0.97,1.00,0.98,0.97,0.830,0.085,0.000,0.000,0.085,0.92,0.20,0.088,0.163,0.856,0.068,0.000,0.000,0.076,98.9
S029,27,Excellent,1.00,0.97,1.00,0.99,0.98,0.856,0.068,0.000,0.000,0.076,0.93,0.20,0.086,0.166,0.880,0.050,0.000,0.000,0.070,99.0
S030,28,Excellent,1.00,0.97,1.00,0.99,0.98,0.880,0.050,0.000,0.000,0.070,0.94,0.20,0.084,0.169,0.902,0.031,0.000,0.000,0.067,99.1
S031,29,Excellent,1.00,0.98,1.00,0.99,0.98,0.902,0.031,0.000,0.000,0.067,0.94,0.20,0.082,0.172,0.922,0.011,0.000,0.000,0.067,99.2
S032,30,Excellent,1.00,0.98,1.00,0.99,0.98,0.922,0.011,0.000,0.000,0.067,0.95,0.20,0.080,0.175,0.940,0.000,0.000,0.000,0.060,99.3
S033,31,Excellent,1.00,0.98,1.00,0.99,0.98,0.940,0.000,0.000,0.000,0.060,0.95,0.20,0.078,0.178,0.956,0.000,0.000,0.000,0.044,99.4
S034,32,Excellent,1.00,0.98,1.00,0.99,0.99,0.956,0.000,0.000,0.000,0.044,0.96,0.20,0.076,0.181,0.970,0.000,0.000,0.000,0.030,99.5
S035,33,Excellent,1.00,0.99,1.00,0.99,0.99,0.970,0.000,0.000,0.000,0.030,0.96,0.20,0.074,0.184,0.982,0.000,0.000,0.000,0.018,99.6
S036,34,Excellent,1.00,0.99,1.00,1.00,0.99,0.982,0.000,0.000,0.000,0.018,0.97,0.20,0.072,0.187,0.992,0.000,0.000,0.000,0.008,99.7
