# QoE Impairment Enhanced Dataset - Video Streaming Only
# 60 Sessions over 36-month transition period (t=0 to t=36)
# Format: Session_ID, Time(months), App_Type, Delay(ms), Packet_Loss, Jitter(ms), I_delay_enhanced, I_codec_loss_6G, I_jitter_sub_ms, I_mobility_3D, I_context_AI, I_6G_specific, A_6G, R_0, R_5G, R_6G_Impairment, η_linear, η_sigmoid, η_adaptive, R_Total_linear, R_Total_sigmoid, R_Total_adaptive

Session_ID,Time,App_Type,Delay,Packet_Loss,Jitter,I_delay_enhanced,I_codec_loss_6G,I_jitter_sub_ms,I_mobility_3D,I_context_AI,I_6G_specific,A_6G,R_0,R_5G,R_6G_Impairment,η_linear,η_sigmoid,η_adaptive,R_Total_linear,R_Total_sigmoid,R_Total_adaptive
S001,1,Video_Streaming,4.9,0.0009,1.3,12.5,8.2,3.1,2.8,2.1,3.5,2.8,100,77.2,64.6,0.028,0.001,0.005,76.7,77.2,77.0
S002,1,Video_Streaming,5.0,0.0008,1.2,12.7,8.0,2.9,2.6,2.2,3.6,2.9,100,77.8,64.9,0.028,0.001,0.005,77.3,77.8,77.6
S003,2,Video_Streaming,4.8,0.0008,1.2,12.3,7.9,2.8,2.5,2.0,3.4,3.2,100,78.1,65.8,0.056,0.002,0.012,77.4,78.1,77.9
S004,2,Video_Streaming,4.7,0.0007,1.1,12.1,7.7,2.7,2.4,1.9,3.3,3.4,100,78.5,66.5,0.056,0.002,0.012,77.8,78.5,78.3
S005,3,Video_Streaming,4.5,0.0006,1.0,11.8,7.2,2.5,2.1,1.8,3.0,4.2,100,78.1,67.8,0.083,0.007,0.025,77.5,78.1,77.9
S006,4,Video_Streaming,4.3,0.0005,0.9,11.4,6.8,2.3,1.9,1.6,2.7,4.8,100,78.8,69.3,0.111,0.017,0.045,78.0,78.7,78.5
S007,5,Video_Streaming,4.1,0.0005,0.9,11.0,6.5,2.2,1.8,1.5,2.5,5.2,100,79.3,70.4,0.139,0.034,0.072,78.4,79.1,78.8
S008,6,Video_Streaming,3.8,0.0004,0.8,10.5,6.2,2.0,1.6,1.5,2.5,5.5,100,79.2,71.6,0.167,0.047,0.098,78.0,79.1,78.8
S009,7,Video_Streaming,3.6,0.0003,0.7,10.1,5.8,1.8,1.4,1.3,2.2,6.0,100,79.8,73.1,0.194,0.091,0.138,78.5,79.5,79.2
S010,8,Video_Streaming,3.4,0.0003,0.7,9.7,5.5,1.7,1.3,1.2,2.0,6.5,100,80.3,74.6,0.222,0.119,0.172,79.1,80.0,79.7
S011,9,Video_Streaming,3.2,0.0002,0.6,9.5,5.2,1.5,1.1,1.2,2.0,6.8,100,80.5,75.7,0.250,0.168,0.198,79.5,80.2,80.0
S012,10,Video_Streaming,3.0,0.0002,0.5,9.0,4.8,1.3,0.9,1.0,1.8,7.3,100,81.1,77.4,0.278,0.226,0.258,80.1,80.7,80.5
S013,11,Video_Streaming,2.8,0.0001,0.5,8.6,4.5,1.2,0.8,0.9,1.6,7.8,100,81.6,79.0,0.306,0.289,0.315,80.8,81.2,81.1
S014,12,Video_Streaming,2.5,0.00008,0.4,8.2,4.2,1.0,0.6,0.9,1.5,8.2,100,82.0,80.6,0.333,0.354,0.370,81.6,81.6,81.7
S015,13,Video_Streaming,2.3,0.00007,0.4,7.8,3.9,0.9,0.5,0.8,1.3,8.7,100,82.5,82.3,0.361,0.420,0.428,82.5,82.5,82.5
S016,14,Video_Streaming,2.1,0.00006,0.35,7.3,3.5,0.8,0.4,0.7,1.2,9.2,100,83.1,84.1,0.389,0.520,0.485,83.4,83.8,83.7
